permit_id,property_name,municipal_case_id,publication_date,municipality,permit_type_num,permit_type,longitude,latitude
142092,FLYGVERKSTADEN 2,K896165/25,2025-11-27,Kalmar,0,Bygglov,16.279669019911026,56.67761696709527
142171,VÄXJÖ 7:9,K896418/25,2025-11-27,Växjö,0,Bygglov,14.814975929260253,56.92097396850586
142176,EKO 6,K896464/25,2025-11-27,Växjö,0,Bygglov,14.801818711417061,56.87506103515625
142183,STIBY 9:8,K896628/25,2025-11-27,Sölvesborg,0,Bygglov,14.698756694793701,56.01410420735677
142197,URMAKAREN 1,K896685/25,2025-11-27,Sölvesborg,0,Bygglov,14.560498237609863,56.06028747558594
142219,RESAN 1,K896274/25,2025-11-27,Växjö,0,Bygglov,14.804294204711914,56.87708969116211
142270,LJUNGPIPAREN 10,K900481/25,2025-11-28,Växjö,0,Bygglov,14.735254764556885,56.90179125467936
142291,Holje 161:129,K900743/25,2025-11-28,Olofström,0,Bygglov,14.52031593322754,56.266954040527345
142320,FULLRIGGAREN 26,K901143/25,2025-11-28,Växjö,0,Bygglov,14.810575246810913,56.89846992492676
142330,LJUNGPIPAREN 15,K901134/25,2025-11-28,Växjö,0,Bygglov,14.73434829711914,56.90186462402344
142383,LJUNGPIPAREN 13,K900657/25,2025-11-28,Växjö,0,Bygglov,14.73472009386335,56.90180533272879
142391,HOLJE 2:628,K900761/25,2025-11-28,Olofström,0,Bygglov,14.548329989115397,56.28556442260742
142394,STORKEN 8,K900748/25,2025-11-28,Växjö,1,Rivningslov,14.78948720296224,56.88641255696614
142398,TROLLEBODA 1:42,K900483/25,2025-11-28,Ronneby,0,Bygglov,15.18007859061746,56.152725107529584
142434,LJUNGPIPAREN 14,K901103/25,2025-11-28,Växjö,0,Bygglov,14.734432220458984,56.90155944824219
142435,HASSLÖ 5:103,K901112/25,2025-11-28,Karlskrona,0,Bygglov,15.454610109329224,56.11381149291992
142475,VINAMAN 2,K900722/25,2025-11-28,Växjö,0,Bygglov,14.808451493581137,56.88006019592285
137747,ALGUTSRUM 3:3,K822016/25,2025-11-03,Mörbylånga,0,Bygglov,16.52883214083585,56.68176966580478
138687,TORPAREGÄRDE 1:25,K837964/25,2025-11-07,Borgholm,0,Bygglov,16.85223166147868,56.94358507792155
