municipality_clean,permit_count,simpson_index,shannon_index,foreign_born_pct,mean_income_sek,rental_share,owner_share,total_population,total_dwellings,permits_per_1000_pop,permits_per_1000_dwellings
Knivsta,5,0.2768542020608695,0.4494458108255824,0.165974703099353,365938.2205271797,0.2320345310312645,0.7643490433971069,20714.0,8572.0,0.2413826397605484,0.5832944470368642
Kramfors,8,0.2295449250552257,0.3906736268276909,0.1322670296636606,196940.8938800976,0.3400336666996732,0.6597682938904842,17631.0,10099.0,0.45374624241393,0.7921576393702346
Kristianstad,38,0.3193895017100528,0.4996969372849977,0.1994916820702403,238555.51987061,0.4085922570599476,0.5913605586618539,86560.0,42387.0,0.4390018484288355,0.896501285771581
Kristinehamn,9,0.236710129500002,0.3997944724922818,0.1371709283285048,211499.34920434983,0.3382547206465149,0.6616675732380138,23817.0,12869.0,0.3778813452575891,0.6993550392415883
Krokom,9,0.1348561069250395,0.26060742081736,0.0727156139788393,266978.3840974671,0.2355147978324301,0.7643462553841879,15595.0,7197.0,0.5771080474511061,1.2505210504376822
Kumla,11,0.243209297864607,0.4079961394773797,0.1416770296677918,261168.60898916327,0.4210475077881619,0.578952492211838,22516.0,10272.0,0.48854148161307515,1.070872274143302
Kungsbacka,51,0.1726865515314521,0.3149800575770162,0.0954549169322732,350177.51625745744,0.2379712822235284,0.7620287177764716,85653.0,35727.0,0.5954257293965185,1.4274918129146024
Kungsör,1,0.3057616727086513,0.483836954396199,0.1883605229665625,226706.8957537892,0.3882552778451832,0.6117447221548168,8643.0,4121.0,0.11570056693277797,0.24265954865323952
Kungälv,26,0.2011548330110326,0.3536636824510634,0.1134478256502962,311899.0278196244,0.2672258837627321,0.7325436696317463,49785.0,21697.0,0.5222456563221853,1.1983223487118035
Kävlinge,13,0.2065128649681105,0.3607607846209575,0.1169287696577243,332429.1705211224,0.2771393016616646,0.7227874972549594,32430.0,13661.0,0.40086339808818994,0.9516140838884416
Köping,16,0.3370550589538381,0.5199439987444578,0.2145661713757795,229240.04157363923,0.4173299294188317,0.5826700705811684,25978.0,13318.0,0.6159057664177381,1.201381588827151
Laholm,18,0.2575362216105594,0.4258467487795151,0.1518162996423866,225487.89008093355,0.2779752033483377,0.7219458264234384,26565.0,12663.0,0.6775832862789384,1.4214641080312722
Landskrona,15,0.3988292266561544,0.5882541105748682,0.2750880468451648,243270.5180973395,0.4866961306034094,0.5133038693965906,47134.0,22174.0,0.3182416090295752,0.676467935419861
Lekeberg,4,0.1327099723268909,0.2574037870901158,0.0714617708575412,270740.91331629094,0.2426588360918312,0.7573411639081687,8606.0,3746.0,0.46479200557750405,1.0678056593699945
Leksand,21,0.1713352573709636,0.3131000637972398,0.0946207068503397,223784.90930623948,0.3131604226705091,0.6865994236311239,16043.0,8328.0,1.308982110577822,2.521613832853026
Lerum,22,0.2001864517371911,0.3523751153598569,0.1128220381640964,341303.51896764745,0.1736808864902106,0.8263191135097893,43706.0,17417.0,0.5033633826019311,1.2631337199288053
Lidingö,15,0.2979896733661749,0.4746934446218031,0.1821869050575283,472295.7329691251,0.3026733721545791,0.6973266278454209,48324.0,22668.0,0.3104047678172337,0.6617257808364214
Lidköping,10,0.2003891759191189,0.3526450189043394,0.112952958879104,254378.28510816745,0.3311335012594458,0.668816120906801,40539.0,19850.0,0.2466760403562002,0.5037783375314862
Lilla edet,5,,0.0,,,,,,,,
Lindesberg,6,0.2558527685858121,0.4237651338119063,0.1506096513824489,223667.8988493904,0.3559519839946649,0.6438812937645882,23292.0,11996.0,0.25759917568263785,0.500166722240747
Linköping,92,0.3047453647011096,0.4826454424965384,0.1875462951900791,281157.1324460586,0.5047055567088783,0.4952598436094388,167404.0,86706.0,0.5495687080356503,1.061056904943141
Ljungby,17,0.3218690627855016,0.5025596780508113,0.2015616167326173,237064.67637083097,0.3842206103736143,0.6157793896263857,28304.0,14614.0,0.6006218202374223,1.163268099083071
Ljusdal,10,0.1775094678292492,0.3216559698508019,0.0984464343510626,206208.7280181249,0.3413144152133215,0.6586855847866785,18538.0,10149.0,0.5394325169921244,0.9853187506158243
Lomma,15,0.1859685765282694,0.3332408052166086,0.1037479189507451,412145.9170828765,0.1079816781990059,0.892018321800994,24627.0,10261.0,0.6090875867949811,1.4618458239937628
Ludvika,28,0.307265153768798,0.4855973658047493,0.1895689720475721,235848.8523596697,0.3682965848229811,0.6317034151770189,26402.0,14377.0,1.0605257177486553,1.9475551227655283
Luleå,20,0.2179555088702613,0.3757389336551337,0.124470712773465,280729.2078334509,0.4490551969989981,0.5508982035928144,79352.0,42919.0,0.25204153644520616,0.4659940818751602
Lund,39,0.361861721304739,0.5478190993492962,0.2371899177207417,281043.02391624707,0.4560648708562428,0.5439351291437572,130288.0,68567.0,0.2993368537394081,0.5687867341432468
Lycksele,3,0.1975308641975308,0.3488320958430319,0.1111111111111111,236628.54335544087,0.4555722891566265,0.5444277108433735,12213.0,6640.0,0.24563989191844754,0.45180722891566266
Lysekil,19,0.2389763152315409,0.4026618906329978,0.1387357720667191,226657.01911375189,0.4048593033345729,0.595140696665427,13969.0,8067.0,1.3601546281050898,2.3552745754307676
Malmö,79,0.4601168216172154,0.6527161010934193,0.3587853081602615,274278.10113963654,0.4698709941300671,0.5301124241385791,362133.0,180922.0,0.21815189446971142,0.43665225898453475
Malung-sälen,16,,0.0,,,,,,,,
Malå,1,0.2337208756054182,0.3959995295525091,0.1351170568561873,219607.2575250836,0.3599003735990037,0.6400996264009963,2990.0,1606.0,0.33444816053511706,0.6226650062266501
Mariestad,35,0.2166846120806342,0.3740870267817865,0.1236255933785044,231802.5642065972,0.2821046144364841,0.717895385563516,24647.0,12981.0,1.4200511218403862,2.6962483629920655
Mark,17,0.2371479478276152,0.4003490862010784,0.1374727236659393,245582.03587723523,0.3144669581819301,0.6854098663546222,35287.0,16237.0,0.48176382237084475,1.0469914393052904
Markaryd,5,0.3707969294418396,0.557709269787225,0.2458316792377927,220888.5271933307,0.3645004849660523,0.635305528612997,10076.0,5155.0,0.4962286621675268,0.9699321047526673
Mellerud,3,0.3003762564775205,0.4775089812927715,0.1840698308783415,194807.33224222585,0.3107225616178639,0.6892774383821361,9165.0,4747.0,0.32733224222585927,0.6319780914261639
Mjölby,11,0.2205318831517753,0.379078969877318,0.1261898096304591,258571.6055431131,0.3660060318828091,0.6339939681171909,28576.0,13926.0,0.3849384098544233,0.7898894154818326
